"name","bggName","id"
"Auf zum Eispalast!","Frozen: Auf zum Eispalast!","190859"
"Diniosaurier","UNKNOWN","-1"
"Der kleine Rabe Socke - Das große Rennen","Der kleine Rabe Socke: Das große Rennen","181957"
"Monopoly Junior my Little Ponny","UNKNOWN","-1"
"Black stories - das Verhör","Black Stories: Das Verhör","179561"
"Black stories - Bibel Edition","Black Stories: Bibel Edition","186342"
"Das große Jahreszeiten-Spiel","UNKNOWN","-1"
"True Stories!","True Stories","179552"
"Hexx & Hopp","Hexx & Hopp","174696"
"Wer wird Küchenmeister?","UNKNOWN","-1"
"Agent Undercover","Agent Undercover","166384"
"Stratego Conquest","Stratego Conquest","175864"
"Der zerstreute Pharao","Der Zerstreute Pharao","2629"
"Burg Schlummerschatz","Burg Schlummerschatz","183401"
"Muckefuck und Liebestöter","UNKNOWN","-1"
"1, 2, Puzzelei - Gegensätze","UNKNOWN","-1"
"Stapelnest","UNKNOWN","-1"
"Die Legenden von Andor","Die Legenden von Andor","127398"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Carcassonne - Star Wars Edition","UNKNOWN","-1"
"Happy Numbers","UNKNOWN","-1"
"Wo bitte ist Umtata?","Wo ist bitte Umtata? Die schrägen Seiten Europas","179560"
"Die geheimnisvolle Drachenhöhle","Die geheimnisvolle Drachenhöhle","180565"
"Echt jetzt?! oder was?","UNKNOWN","-1"
"Drachen-Rallye","Drachen-Rallye","171497"
"Quick Buzz - Das Vokabelduell","UNKNOWN","-1"
"Monopoly - Game of Thrones Collector's Edition","Monopoly: Game of Thrones Collector's Edition","185104"
"Kaleidos Junior","Kaleidos Junior","24209"
"Yak","Yak","21877"
"Loony Quest","Loony Quest","136991"
"The Game","The Game","127612"
"Cacao","Cacao","171499"
"4+1= Meins","UNKNOWN","-1"
"Bubbles","Bubbles","189319"
"Der verdrehte Sprachzoo","UNKNOWN","-1"
"Schatz-Rabatz","Schatz-Rabatz","178053"
"Der Räuber Hotzenplotz - die magische Kristallkugel","UNKNOWN","-1"
"Spinderella","Spinderella","171129"
"Trampel-Tiere","UNKNOWN","-1"
"Ratze Putz","UNKNOWN","-1"
"Reise durch Deutschland","Reise durch Deutschland","162728"
"Solomino","SOLOmino","171368"
"Menschlicher Körper von A-Z","UNKNOWN","-1"
"Panik Pilze","Panik Pilze","172259"
"Hinterhalt im Räuberwald","UNKNOWN","-1"
"Duell der Mächte","Star Wars: Duell der Mächte","181421"
"Chef Alfredo","Chef Alfredo","172543"
"Alle Vögel sind schon da!","Alle Vögel sind schon da!","164156"
"Simsala ... Bumm?","Simsala… Bumm?","163930"
"Fliegenschmaus","Fliegenschmaus","184311"
"Push a Monster","Push a Monster","172542"
"Ülox","UNKNOWN","-1"
"Brick Party","Brick Party","181161"
"Codenames","Codenames","178900"
"Feste feiern - ¬Das Quiz","UNKNOWN","-1"
"Mombasa","Mombasa","172386"
"Clever spielen - Anlaute","UNKNOWN","-1"
"Die unüblichen Verdächtigen","Die unüblichen Verdächtigen","178570"
"Kolejka","Kolejka","85325"
"Rund um die Uhr","Rund um die Uhr","213679"
"Isle of Skye","Isle of Skye: From Chieftain to King","176494"
"Mmm!","Mmm!","172507"
"Meine lustige Mixmax-Arche","UNKNOWN","-1"
"Bibi Blocksberg - verhexter Hexenbesen","Bibi Blocksberg: Verhexter Hexenbesen","187771"
"Einfach alles! - Die Welt in Bildern","UNKNOWN","-1"
"Mister Pups Spiel","UNKNOWN","-1"
"Groß-Puzzles: Thema „Sommerurlaub“","UNKNOWN","-1"
"Fressen Igel Schokoriegel?","UNKNOWN","-1"
"Groß-Puzzles: Thema „Tiere“","UNKNOWN","-1"
"Karuba","Karuba","183251"
"Bunte Mischung","UNKNOWN","-1"
"3 gewinnt!","3 gewinnt!","171396"
"Die Höhle der Löwen","UNKNOWN","-1"
"NEON Unnützes Quizzen: Ideen & Erfindungen","UNKNOWN","-1"
"Crabz","Crabz","172033"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Memo","Memo","142399"
"Bingo","Bingo","7316"
"Monopoly Junior - DreamWorks Dragons","UNKNOWN","-1"
"Stars der 50er- und 60er Jahre","UNKNOWN","-1"
"Die kleine Plaudertasche","UNKNOWN","-1"
"Sag's mir! Junior","Sag's mir! Junior","174219"
"Wär' ich doch der Hahn im Korb","Wär' ich doch der Hahn im Korb","181343"
"Hedbanz","Hedbanz Act Up","153484"
"Schnick, schnack, schnuck","Schnick Schnack Schnuck","131434"
"Catan Junior","Catan Junior","27766"
"Kreuzwort","Kreuzwort","136279"
"Entdecke die Welt","Entdecke die Welt","114906"
"Adventure Tours","Adventure Tours","165586"
"Bubble Bomb","Bubble Bomb","171411"
"Im Geisterschiff","UNKNOWN","-1"
"Unser Sandmännchen und seine Freunde","Unser Sandmännchen und seine Freunde","172256"
"Faszinierende Pferde","UNKNOWN","-1"
"Star Wars Memory","Star Wars: The Clone Wars Memory","7688"
"Von Drachen und Schafen","Von Drachen und Schafen","136594"
"Black Stories - Dark Tales Edition","Black Stories: Dark Tales Edition","173253"
"Black Stories - Last man Falling","UNKNOWN","-1"
"Quick Buzz","UNKNOWN","-1"
"Wettflug zur Dracheninsel","Dragons: Wettflug zur Dracheninsel","69821"
"Stratego Waterloo","Stratego Waterloo","174064"
"Activity Champion","Activity Champion","178348"
"Linkee","Linkee","147194"
"MindMaze","MindMaze","131221"
"Leipzig-Quiz","Leipzig-Quiz","177101"
"Mein Mäuschen-Farbspiel","Mein Mäuschen-Farbspiel","72368"
"Abenteuer auf Lothal","Star Wars Rebels: Abenteuer auf Lothal","172347"
"Crazy Coconuts","Crazy Coconuts","145639"
"Die Post iast da!","UNKNOWN","-1"
"Könnten Sie Deutsche(r) werden?","UNKNOWN","-1"
"QUICK BUZZ","UNKNOWN","-1"
"Der Hobbit - Die Schlacht der fünf Heere","Die Schlacht der fünf Heere: Der Hobbit","135219"
"Spiel des Wissens - Planet Deutschland","UNKNOWN","-1"
"Triovision","Triovision","35472"
"Heckmeck am Bratwurmeck","Heckmeck am Bratwurmeck","15818"
"Zeitalter des Krieges","Zeitalter des Krieges","155695"
"1, 2, 3, Papagei!","1, 2, 3, Papagei!","181175"
"Wakanda","Wakanda","161762"
"Carnac","Carnac","103061"
"Schatzinsel Junior Collection","UNKNOWN","-1"
"Colt Express","Colt Express","158899"
"Ravensburger Memory Deutschland","UNKNOWN","-1"
"Conni und die Tiere","Conni und die Tiere","153424"
"Kroko Doc","Kroko-Doc","10453"
"Make'n'Break Circus","UNKNOWN","-1"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Dresden Memo","UNKNOWN","-1"
"Leipzig","Leipzig","11512"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Aqua Sphere","UNKNOWN","-1"
"Unsere kleine Stadt","UNKNOWN","-1"
"Inkognito","Inkognito","466"
"Die Sprichwort Würfel","UNKNOWN","-1"
"Familie Fisch","UNKNOWN","-1"
"Fröschlein spring!","UNKNOWN","-1"
"Leipzig Quartett","UNKNOWN","-1"
"Der kleine Löwe spielt mit seinen Freunden","UNKNOWN","-1"
"Die Alchemisten","Die Alchemisten","161970"
"Tic Talk","Tic Talk","153830"
"Game of Thrones - die Intrigen von Westeros","Game of Thrones: Die Intrigen von Westeros","155693"
"RushHour Jr.","UNKNOWN","-1"
"Schau mal! Was ist anders?","Schau mal! Was ist anders?","162191"
"Vollmondnacht - Werwölfe","Vollmondnacht: Werwölfe","147949"
"Papilio","Papilio","173380"
"Continuo","Continuo","1190"
"Machi Koro","Machi Koro","143884"
"Cluedo Junior","Cluedo Junior","9852"
"Joe's Zoo","Joe's Zoo","158708"
"Blumenfee","Blumenfee","189603"
"Das Spiel des Lebens Junior","UNKNOWN","-1"
"Spiky","UNKNOWN","-1"
"Ohne Moos nix los!","Ohne Moos nix los","1797"
"Sultaniya","Sultaniya","145012"
"Hick Hack in Gackelwack","Hick Hack in Gackelwack","2569"
"1000 Jahre Leipzig","UNKNOWN","-1"
"Fussball","Fussball","72819"
"Das Spiel des Lebens","Das Spiel des Lebens Kartenspiel","37773"
"Black stories - Christmas Edition","Black Stories Christmas Edition 2","151776"
"Raben stapeln mit Schnabelgrün","Raben Stapeln mit Schnabelgrün","154586"
"Bei uns zu Hause","UNKNOWN","-1"
"Pie Face!","Pie Face","16562"
"Sau-Bande!","Sau-Bande!","165559"
"Sicken ohne Nadel, Lausbuben","UNKNOWN","-1"
"Drecksause","Drecksause","161553"
""Das gelingt immer!" - Blumen","UNKNOWN","-1"
""Das gelingt immer!" - Krimskrams","UNKNOWN","-1"
"Black stories - Christmas Edition","Black Stories Christmas Edition 2","151776"
"Guinness World Records","Guinness Book of World Records Game","15463"
"Mit Mist und Tücke","Mit Mist und Tücke","153501"
"Crazy Circus","Crazy Circus","5478"
"Der 7bte Zwerg","Der 7bte Zwerg","154008"
"Guinness World Records Officially Amazing","UNKNOWN","-1"
"Der Grüffelo - Das große Schattenspiel","Der Grüffelo: Das große Schattenspiel","175784"
"Hamsterbacke","Hamsterbacke","162114"
"Honigbienchen","Honigbienchen","129492"
"Das Warum-Quiz","Das Warum-Quiz","152619"
"Barragoon","Barragoon","157779"
"Lauf rauf!","Lauf rauf!","163338"
"Koboldbande","Koboldbande","153002"
"Lewis& Clark","UNKNOWN","-1"
"Qwixx","Qwixx","131260"
"Ciub","Ciúb","162152"
"7 Steps","7 Steps","161537"
"Die Akte Whitechapel","Die Akte Whitechapel","59959"
"Fliegende Zeilen","Fliegende Zeilen","173537"
"Port Royal","Port Royal","565"
"Pictofun","UNKNOWN","-1"
"Trakkx","TrakkX","165585"
"Crowns","Crowns","86460"
"Quizduell","Quizduell","155564"
"Black stories - Holiday Edition","Black Stories: Holiday Edition","96342"
"Der Natur auf der Spur","Der Natur auf der Spur","20965"
"Abra Palabra","Abra Palabra","153511"
"Black stories - Best of 1 - 10","Black Stories: Jubiläumsedition Best of 1-10","168201"
"Black stories - funny death edition","Black Stories Funny Death Edition","96345"
"Black stories - Medizin Edition","Black Stories: Medizin Edition","152621"
"Der hungrige Zahlen-Roboter","Der hungrige Zahlen-Roboter","216735"
"Wenn ich groß bin ...","Wenn ich groß bin ...","166002"
"Un Fin de Semana en Madrid","Un fin de semana en Madrid","121047"
"Castelino","UNKNOWN","-1"
"Burgenland","Burgenland","4432"
"Komm mit zum Schloss!","Sofia: Komm mit zum Schloss!","153306"
"Krokolores","Krokolores: Happs und weg!","163971"
"Der kleine Drache Kokosnuss - Ausflug ins Abenteuer","Der kleine Drache Kokosnuss: Ausflug ins Abenteuer","153391"
"Häuptling Bumm-Ba-Bumm","Häuptling Bumm-ba-Bumm","165998"
"Voll Schaf","Voll Schaf","54137"
"Sanssouci","Sanssouci","146816"
"Flizz & Miez","Flizz & Miez","154681"
"Talo","Talo","148443"
"Mixola","UNKNOWN","-1"
"Camel up","Camel Up","153938"
"H.P. Lovecraftś Kingsport Festival","H.P. Lovecraft's KINGSPORT FESTIVAL: The Rituals of Mysteries","190795"
"Monopoly Imperium","Monopoly Imperium","145842"
"Abluxxen","Abluxxen","153065"
"Out of Mine!","Out of Mine!","153509"
"Dimension","Dimension","17581"
"Heavy Hippos","Heavy Hippos","175651"
"Limes","Limes","15904"
"Un@ Fine Settimana a Roma","Un fine settimana a Roma","121048"
"Un week-end a Paris","Un week-end a Paris","121049"
"MaCar","MaCar","167413"
"Fröschlein aufgepasst!","Fröschlein aufgepasst!","168534"
"Black Fleet","Black Fleet","157403"
"Benjamin Blümchen Schiebe-Memo","Benjamin Blümchen Schiebe-Memo","129445"
"Absacker","Absacker","2843"
"Black Stories - Mystery Edition","Black Stories Mystery Edition","32743"
"Black Stories - Mittelalter Edition","Black Stories: Mittelalter Edition","127646"
"Lemminge","Lemminge","153004"
"Splendor","Splendor","148228"
"Black stories - Office Edition","Black Stories: Office Edition","152622"
"Black stories - Krimi-Edition","Black Stories Krimi Edition","93199"
"Schlafmütze","Schlafmütze","10621"
"Särge schubsen","Särge schubsen","171475"
"Geocards Europa","GeoCards Europa","171413"
"Munchkin Quest","Munchkin Quest","29678"
"Madam Ching","Madame Ching","154443"
"Sagś mir!","Sag's mir! Familie","88126"
"Ka-Woom","Ka-Woom","136245"
"Looping Louie","Looping Louie","327"
"Monopoly - here & now World","Monopoly Here & Now World Edition","191133"
"Mein allererstes Naturspiel","UNKNOWN","-1"
"Party & Co extrem","Party & Co: Extreme","29020"
"Einhorn Glitzerglück","Einhorn Glitzerglück","159566"
"Zombicide","Zombicide","113924"
"Jippijaja Quiz Original","UNKNOWN","-1"
"Golden Horn","Golden Horn Erweiterung Dominio Da Mar","176841"
"Auf die Käfer, fertig, Los!","UNKNOWN","-1"
"Banana Party","Banana Party","137404"
"Activity® Codeword","Activity Codeword","91201"
"Rund ums Taschengeld","Rund ums Taschengeld","154456"
"Der Millionen Coup","Der Millionen Coup","142277"
"Aqua Belle","UNKNOWN","-1"
"Der Bunte Würfel","Der bunte Würfel","39069"
"Das Supertalent","UNKNOWN","-1"
"Super Race","Super Race","136177"
"Mein zweisprachiges Aufdeckspiel Obst und Gemüse Deutsch-Arabisch","UNKNOWN","-1"
"S.O.S. Affenalarm","S.O.S. Affenalarm","12826"
"Mausezauber","UNKNOWN","-1"
"Angelspiel","Angelspiel","9812"
"Mausefalle","Mausefalle","25097"
"Same Same","Atmosfear II. Barón Samedi. El Zombie.","10900"
"Speed Cups","Speed Cups","146149"
"Joko gegen Klaas - Das Spiel","UNKNOWN","-1"
"1, 2, Puzzelei - Zahlen von 1 [bis] 10","UNKNOWN","-1"
"Hase hüpf!","Hase Hüpf","145800"
"Die verzauberten Rumpelriesen","Die verzauberten Rumpelriesen","136085"
"Billy O'shoe","UNKNOWN","-1"
"2 erste Spiele","2 erste Spiele","166261"
"Hexenküche","Hexenküche","13325"
"Kuddelmuddel","Kuddelmuddel","128557"
"Differix extrem","Differix Extrem","137361"
"1, 2, Hüpferei!","1, 2, Hüpferei!","150123"
"Asante","Asante","136056"
"Alle meine Entchen","Alle meine Entchen","31628"
"Blood Bound","Blood Bound","130877"
"The Big Bang Theory - Das Partyspiel","The Big Bang Theory: Das Partyspiel","107733"
"Gregs Tagebuch","Gregs Tagebuch: 10 Sekunden Balla Balla","153426"
"Mensch ärgere Dich nicht - Kids","Mensch ärgere Dich nicht Kids","150542"
"Monopoly - Die Mega Deluxe Edition","Monopoly: Die Mega Deluxe Edition","24764"
"Eldritch Horror","Eldritch Horror","146021"
"Terra Mystica","Terra Mystica","120677"
"Wir spielen Baustelle","UNKNOWN","-1"
"Ugo!","UGO!","139326"
"Die monsterstarke Musikschule","Die monsterstarke Musikschule","158499"
"Ricochat Robots","UNKNOWN","-1"
"Lernuhr Tick Tack","UNKNOWN","-1"
"Concept","Concept","147151"
"Potato Man","Potato Man","137155"
"Welches Tier bin ich?","Welches Tier bin ich?","159629"
"Zieh Leine, Flynn","Zieh Leine, Flynn!","159627"
"Oh Schreck, der Speck fliegt weg!","Oh Schreck, der Speck fliegt weg!","148768"
"Geister, Geister, Schatzsuchmeister!","Geister, Geister, Schatzsuchmeister!","146312"
"Game over","Game Over","131788"
"Richard Ritterschlag","Richard Ritterschlag","148767"
"Le Fantôme de l' Opéra","UNKNOWN","-1"
"Dein Körper und Du","Dein Körper und Du","176342"
"Balamari","Balamari","158684"
"Wo sind meine Schuhe?","UNKNOWN","-1"
"Are you joking?","Are you joking?","156670"
"A@ Weekend in London","A Weekend in London","119269"
"Monte Banana","Monte Banana","2011"
"S.O.S. Affenalarm","S.O.S. Affenalarm","12826"
"Black stories - Movie Edition","Black Stories Movie Edition","43041"
"Gold am Orinoko","Gold am Orinoko","137480"
"Qwixx","Qwixx","131260"
"Monopoly Sachsen","Monopoly: Sachsen","120790"
"The Walking Dead","The Walking Dead","48985"
"Pharao Code","Pharaoh Code","111999"
"Bora Bora","Bora Bora","127060"
"ReACTion","Reaction","3725"
"Stromber","Stromberg: Das große Bürostuhlrennen","148011"
"Würfel-Ligretto","Würfel-Ligretto","55835"
"Feuerdrachen","Feuerdrachen","148764"
"Cuatro","Cuatro","149863"
"Manno Monster","Manno Monster","144416"
"Finger weg!","Finger weg!","148528"
"Sherlock Kids","Sherlock Kids","145070"
"Polterfass","Polterfass","148531"
"Word on the Street","Word on the Street","40990"
"Black stories","Black Stories","18803"
"Augustus","Augustus","137297"
"Ringlding","RinglDing","91394"
"Tierkarussell","Motorikspiel Tierkarussell","183656"
"Der Hobbit - Smaugs Einöde","Der Hobbit: Smaugs Einöde","144417"
"Die Siedler von Catan - Entdecker & Piraten","Die Siedler von Catan: Entdecker & Piraten","135378"
"Wie und wo auf der Wiese?","UNKNOWN","-1"
"Kakerlakak","Kakerlakak","171424"
"New Amici!","¡New Amici!","14040"
"Kniffel - das Kartenspiel","Kniffel: Das Kartenspiel","135327"
"Volltreffer!","Story Cubes: Volltreffer","165523"
"Mit Line durchs Jahr","UNKNOWN","-1"
"Teddys Farben & Formen","UNKNOWN","-1"
"Love Letter","Love Letter","129622"
"Voodoo Mania","Voodoo Mania","136249"
"La Boca","La Boca","136280"
"Kang-a-Roo","Kang-a-Roo","41860"
"Potzblitz","Potzblitz","8554"
"Fische retten","Octonauts: Fische retten","144341"
"Hokuspokus Krötenfuß!","Hokuspokus Krötenfuß!","151343"
"Gold Nuggets","Gold Nuggets","141337"
"Was passt dazu?","Die Sendung mit der Maus: Was passt dazu?","180134"
"Äpfelchen","Äpfelchen","6932"
"Kleine Gespensterfreunde","Kleine Gespensterfreunde","151221"
"Gespensterturm","Gespensterturm","8652"
"Dino Park","Dino Park","39080"
"Arche Noah","Arche Noah","146161"
"1, 2, Puzzelei","UNKNOWN","-1"
"Robinson Crusoe","Robinson Crusoe","51319"
"Graffiti","Graffiti","34284"
"Fun Farm","Fun Farm","145501"
"Mein zweisprachiges Aufdeckspiel Tiere Deutsch-Arabisch","UNKNOWN","-1"
"Pepe-Mobiles the race","UNKNOWN","-1"
"Fühlzwerge","Fühlzwerge","147288"
"Kugelblitz","Kugelblitz","107062"
"Stibitz","Stibitz","9811"
"Benjamin Blümchen - Mix mal","Benjamin Blümchen: Mix Mal","187670"
"Cartagena","Cartagena","826"
"4 zu mir!","4 Zu Mir","9597"
"Star Wars The Clone Wars","Monopoly: Star Wars – The Clone Wars","38577"
"Tatort: Schrebergarten","UNKNOWN","-1"
"Farmerama","Farmerama","120305"
"Santa Cruz","Santa Cruz","118610"
"Drecksau","Drecksau","118410"
"3 Gnus und 7 Kakadus","3 Gnus und 7 Kakadus","131505"
"Triovision Master","Triovision Master","129745"
"Piraten Kapern","Piraten kapern","117663"
"Das Ligretteo Fußballspiel","UNKNOWN","-1"
"Ken Follett - Die Tore der Welt","UNKNOWN","-1"
"Wikinger Geistesblitz","UNKNOWN","-1"
"Make'n'Break Junior","UNKNOWN","-1"
"Fit & Clever","Mauseschlau & Bärenstark: Fit und Clever – Das knifflige Bewegungsdomino","192670"
"Kleine Verse durch das Jahr","UNKNOWN","-1"
"Klack!","Klack!","117555"
"Spiegel Spukschloss","Spiegel Spukschloss","118713"
"Escape","Escape","20718"
"Drehwürmchen","Drehwürmchen","136403"
"Heute schon geküsst?","Heute schon geküsst?","124880"
"Bunte Mischung","UNKNOWN","-1"
"Bunte Mischung","UNKNOWN","-1"
"Monstertorte","Monstertorte","16415"
"Zählen und Rechnen","So zählen und rechnen wir gern","132074"
"Bodenwissen im Handumdrehen","UNKNOWN","-1"
"Linus der Kleine Magier","Linus, der kleine Magier","136712"
"Kleiner Baumeister","UNKNOWN","-1"
"Rechen-Hexe","Scout: Rechen-Hexe","118605"
"Piraten-Abenteuer","Piraten-Abenteuer","5136"
"Black Stories - Mittelalter Edition","Black Stories: Mittelalter Edition","127646"
"Bilderschlange","Bilderschlange","39026"
"Häuptling Puzzlenase","Häuptling Puzzlenase","131932"
"Bilderkette","Bilderkette","42770"
"Zebra-Schwein","Zebra-Schwein","118258"
"Waldspaziergang","UNKNOWN","-1"
"Absolutely English!","Absolutely English","129638"
"Lauschwunder - Das Hörmemory","UNKNOWN","-1"
"Agadez","Agadez","132724"
"Super-Mikado","UNKNOWN","-1"
"Strippenzieher","UNKNOWN","-1"
"Die Spielesammlung Nr.1","UNKNOWN","-1"
"Karl Kugelfisch","UNKNOWN","-1"
"Block 5","Block 5: The Card Game","127508"
"ABC-Reise","ABC-Reise","157585"
"ABC-Zauberduell","ABC: Zauberduell","104814"
"Streck dich, Mieze","Streck dich, Mieze!","117817"
"50 lustige Spiele für unterwegs","UNKNOWN","-1"
"Monopoly - Banking","Monopoly: Banking","29505"
"Dragi Drache","Dragi Drache","129955"
"Beeren klau'n","Beeren klau'n mit Schnabelgrün","132552"
"Acricola","UNKNOWN","-1"
"Der Kleine Prinz","Der Kleine Prinz","8591"
"Banana Matcho","Banana Matcho","130723"
"Labyrinth","Labyrinth","1219"
"Blumen finden","Blumen finden","139678"
"Auf die Weide, fertig, los!","Auf die Weide, fertig, los!","131478"
"Auf die Nüsse!","Auf die Nüsse!","130223"
"Mission im Lese-Dschungel","UNKNOWN","-1"
"Zündstoff Liebe","Zündstoff Liebe","160282"
