"name","bggName","id"
"Die Fürsten von Catan: Goldene Zeiten","Die Fürsten von Catan: Goldene Zeiten","127437"
"Die Kutschfahrt zur Teufelsburg","Die Kutschfahrt zur Teufelsburg","168839"
"Die Legenden von Andor","Die Legenden von Andor","127398"
"Die Legenden von Andor: Chada & Thorn","Die Legenden von Andor: Chada & Thorn","177079"
"Die Legenden von Andor: Der Sternenschild","Die Legenden von Andor: Der Sternenschild","136986"
"Die Legenden von Andor: Die Reise in den Norden","Die Legenden von Andor: Die Reise in den Norden","156318"
"Die Legenden von Andor: Neue Helden","Die Legenden von Andor: Neue Helden","151825"
"Die Portale von Molthar","Die Portale von Molthar","181960"
"Die Siedler von Catan","Die Siedler von Catan","13"
"Die Siedler von Catan: Das schnelle Kartenspiel","Die Siedler von Catan: Das schnelle Kartenspiel","91534"
"Die Siedler von Catan: Historische Szenarien","Die Siedler von Catan: Historische Szenarien","306"
"Die Siedler von Catan: Junior","Die Siedler von Catan: Junior","27766"
"Die Siedler von Nürnberg","Die Siedler von Nürnberg","189"
"Die Säulen der Erde","Die Säulen der Erde","24480"
"Die Säulen der Erde: Die Erweiterung","Die Säulen der Erde: Die Erweiterung","31753"
"Dog","Dog","2633"
"Dominion","Dominion","36218"
"Dominion: Die Intrige","Dominion: Die Intrige","40834"
"Don","Don","1376"
"Drachen Wurf","Drachen Wurf","34696"
"Drecksau","Drecksau","118410"
"Drecksau: Sauschön","Drecksau: Sauschön","191685"
"Du meine Güter!","Du meine Güter!","183840"
"Duckomenta Art","Duckomenta Art","40381"
"Dynasties: Heirate & Herrsche","Dynasties: Heirate & Herrsche","191972"
"Elasund: Die erste Stadt","Elasund: Die erste Stadt","19526"
"Eldritch Horror","Eldritch Horror","146021"
"Es war einmal...","Es war einmal...","1234"
"Escape: Der Fluch des Tempels","Escape: Der Fluch des Tempels","113294"
"Evolution","Evolution","1080"
"Firenze","Firenze","75449"
"Five Tribes: Die Dschinn von Nagala","UNKNOWN","-1"
"Flash 10","Flash 10","146152"
"Flussgeister am Niagara","Flussgeister am Niagara","21855"
"Fluxx","Fluxx","258"
"Fungi","Fungi","122298"
"Funkenschlag","Funkenschlag","12166"
"Galaxy Trucker","Galaxy Trucker","31481"
"Geistes Blitz","Geistes-Blitz","12280"
"Geistesblitz 2.0","Geistesblitz 2.0","118705"
"Grand Austria Hotel","Grand Austria Hotel","182874"
"Guildhall: Zünfte & Intrigen","Guildhall: Zünfte & Intrigen","132372"
"Halt mal kurz: Das Känguru-Spiel","Halt mal kurz: Das Känguru-Spiel","191057"
"Hanabi","Hanabi","98778"
"Harbour","Harbour","155969"
"Haus der Sonne","Haus der Sonne","177727"
"Heckmeck Extrawurm","Heckmeck Extrawurm","181614"
"Heckmeck am Bratwurmeck","Heckmeck am Bratwurmeck","15818"
"Helios","Helios","16924"
"Helvetia","Helvetia","103092"
"Hook!","Hook!","147685"
"Imhotep","Imhotep","36919"
"Imperial Settlers","Imperial Settlers","154203"
"Imperial Settlers: Die Atlanter","Imperial Settlers: Die Atlanter","177739"
"Imperial Settlers: Nachbarschaftshilfe","Imperial Settlers: Nachbarschaftshilfe","169075"
"Isle of Skye: Vom Häuptling zum König","Isle of Skye: Vom Häuptling zum König","176494"
"Istanbul","Istanbul","148949"
"Jambo","Jambo","12002"
"Jungle Speed Revolution","Jungle Speed Revolution","104769"
"Karuba","Karuba","183251"
"Kashgar: Händler der Seidenstraße","Kashgar: Händler der Seidenstraße","143175"
"Keltis: Das Orakel","Keltis: Das Orakel","66085"
"King of New York","King of New York","160499"
"Kingdom Builder","Kingdom Builder","107529"
"Krazy WORDZ","Krazy Wordz","195372"
"Krosmaster Duell Box 2","Krosmaster Duell Box 2","170568"
"Krosmaster: Arena","Krosmaster: Arena","112138"
"Krosmaster: Arena – Exp #5 – Goultard Control","Krosmaster: Arena – Exp #5 – Goultard Control","142065"
"Krosmaster: Arena – Frigost","Krosmaster: Arena – Frigost","145040"
"Krosmaster: Quest","Krosmaster: Quest","155827"
"La Isla","La Isla","154246"
"Las Vegas","Las Vegas","24588"
"Legends","Legends","193121"
"Louis XIV: Ränkespiele am Hofe des Sonnenkönigs","Louis XIV: Ränkespiele am Hofe des Sonnenkönigs","13642"
"Love Letter","Love Letter","129622"
"Machi Koro","Machi Koro","143884"
"Maestro Leonardo","Maestro Leonardo","21920"
"Mafia de Cuba","Mafia de Cuba","176558"
"Mage Knight: Das Brettspiel","Mage Knight: Das Brettspiel","96848"
"Mage Knight: Die Verschollene Legion","Mage Knight: Die Verschollene Legion","130704"
"Mage Knight: Krang Charakter Erweiterung","Mage Knight: Krang Charakter Erweiterung","144763"
"Mage Wars Arena","Mage Wars Arena","101721"
"Magic the Gathering: Das Brettspiel","Magic the Gathering: Das Brettspiel","167698"
"Matschig","Matschig","1087"
"Meins!","Meins!","129053"
"Meisterwerke","Meisterwerke","1501"
"Mogel Motte","Mogel Motte","105593"
"Mombasa","Mombasa","172386"
"My Village","My Village","172381"
"Mysterium","Mysterium","181304"
"Niagara","Niagara","13308"
"Nitro Glyxerol","Nitro Glyxerol","181615"
"Null & Nichtig","Null & Nichtig","24771"
"Náufragos: Die Schiffbrüchigen","Náufragos: Die Schiffbrüchigen","71906"
"Ohne Furcht und Adel","Ohne Furcht und Adel","130060"
"Ohne Furcht und Adel: Die dunklen Lande","Ohne Furcht und Adel: Die dunklen Lande","13291"
"Orléans","Orléans","164928"
"Phase 10","Phase 10","1258"
"Pictomania","Pictomania","98229"
"Piranhas","Piranhas","27076"
"Pixel Tactics","Pixel Tactics","125548"
"Port Royal","Port Royal","565"
"Port Royal: Ein Auftrag geht noch...","Port Royal: Ein Auftrag geht noch...","181899"
"Professor Pünschge","Professor Pünschge","39020"
"Puerto Rico","Puerto Rico","3076"
"Quizduell: Das Spiel","Quizduell: Das Spiel","165557"
"Qwixx","Qwixx","131260"
"Revolver","Revolver","25949"
"Robinson Crusoe: Abenteuer auf der verfluchten Insel","Robinson Crusoe: Abenteuer auf der verfluchten Insel","121921"
"Robinson Crusoe: Die Fahrt der Beagle","Robinson Crusoe: Die Fahrt der Beagle","144722"
"Rokoko","Rokoko","144344"
"Roll for the Galaxy","Roll for the Galaxy","132531"
"Russian Railroads","Russian Railroads","144733"
"Russian Railroads: German Railroads","Russian Railroads: German Railroads","181693"
"S.O.S. Affenalarm","S.O.S. Affenalarm","12826"
"Saboteur","Saboteur","9220"
"Sankt Petersburg","Sankt Petersburg","9217"
"Scheibenwelt: Ankh-Morpork","Scheibenwelt: Ankh-Morpork","91312"
"Schnappt Hubi!","Schnappt Hubi!","92644"
"Schwarz Rot Gelb","Schwarz Rot Gelb","91430"
"Sea of Clouds","Sea of Clouds","189052"
"Simsala… Bumm?","Simsala… Bumm?","163930"
"Skip-Bo","Skip-Bo","1269"
"Skull King","Skull King","150145"
"Skyliners","Skyliners","182605"
"Smash Up","Smash Up","122522"
"Smash Up: Wahnsinnslevel 9000","Smash Up: Wahnsinnslevel 9000","134726"
"Space Alert","Space Alert","38453"
"Splendor","Splendor","148228"
"Star Wars: Imperial Assault","Star Wars: Imperial Assault","164153"
"Star Wars: Imperial Assault – Im Schatten der Zwillingssonnen","Star Wars: Imperial Assault – Im Schatten der Zwillingssonnen","175211"
"Stone Age","Stone Age","34635"
"Stone Age: Mit Stil zum Ziel","Stone Age: Mit Stil zum Ziel","107576"
"T.I.M.E Stories","T.I.M.E Stories","146508"
"T.I.M.E Stories: Der Marcy-Fall","T.I.M.E Stories: Der Marcy-Fall","180585"
"T.I.M.E Stories: Die Drachenprophezeiung","T.I.M.E Stories: Die Drachenprophezeiung","189035"
"T.I.M.E Stories: Hinter der Maske","T.I.M.E Stories: Hinter der Maske","189686"
"Takenoko","Takenoko","70919"
"Takenoko: Chibis","Takenoko: Chibis","174095"
"Tales & Games: The Hare & the Tortoise","Tales & Games: The Hare & the Tortoise","130176"
"Terra Mystica","Terra Mystica","120677"
"Terra Mystica: Feuer & Eis","Terra Mystica: Feuer & Eis","161317"
"The Big Bang Theory: Das Partyspiel","The Big Bang Theory: Das Partyspiel","107733"
"The Game: Spiel...so lange du kannst!","The Game: Spiel...so lange du kannst!","173090"
"Tichu","Tichu","215"
"Tides of Time: Im Strom der Zeit","Tides of Time: Im Strom der Zeit","176229"
"Trains","Trains","14003"
"Trains: Spielplan-Set 1 – Deutschland #1 / USA #1","Trains: Spielplan-Set 1 – Deutschland #1 / USA #1","131324"
"UNO","UNO","2223"
"Um Krone und Kragen","Um Krone und Kragen","21632"
"Vampir Mau Mau","Vampir Mau Mau","154515"
"Village","Village","104006"
"Voll Schaf","Voll Schaf","54137"
"Why First?","Why First?","131165"
"Wikinger","Wikinger","27173"
"Willkommen im Dungeon","Willkommen im Dungeon","150312"
"Wizard","Wizard","1465"
"Word on the Street","Word on the Street","40990"
"World of Warcraft: Das Abenteuerspiel","World of Warcraft: Das Abenteuerspiel","29294"
"Yeti","Yeti","189294"
"Zug um Zug: Deutschland","Zug um Zug: Deutschland","119637"
"Zug um Zug: Europa","Zug um Zug: Europa","14996"
